map,small_g_expanded,small_g_moves,small_g_replans,large_g_expanded,large_g_moves,large_g_replans
grid_00.txt,,,,,,
grid_01.txt,,,,,,
grid_02.txt,303242,402,108,10251,402,108
grid_03.txt,239905,342,91,8249,342,91
grid_04.txt,228409,376,94,8725,376,94
grid_05.txt,,,,,,
grid_06.txt,,,,,,
grid_07.txt,,,,,,
grid_08.txt,221894,362,90,7837,362,90
grid_09.txt,,,,,,
grid_10.txt,,,,,,
grid_11.txt,,,,,,
grid_12.txt,213744,384,100,8631,384,100
grid_13.txt,330966,350,100,10170,350,100
grid_14.txt,,,,,,
grid_15.txt,272162,380,100,9644,380,100
grid_16.txt,151247,370,98,7293,370,98
grid_17.txt,,,,,,
grid_18.txt,242068,318,90,8403,318,90
grid_19.txt,,,,,,
grid_20.txt,,,,,,
grid_21.txt,,,,,,
grid_22.txt,,,,,,
grid_23.txt,,,,,,
grid_24.txt,,,,,,
grid_25.txt,,,,,,
grid_26.txt,200598,330,77,7125,330,77
grid_27.txt,410020,336,85,11085,336,85
grid_28.txt,241817,408,96,8939,408,96
grid_29.txt,259520,414,98,9051,414,98
grid_30.txt,360891,398,112,11657,398,112
grid_31.txt,358181,400,88,10559,400,88
grid_32.txt,180212,332,80,6944,332,80
grid_33.txt,330101,406,116,10740,406,116
grid_34.txt,278752,302,85,8507,302,85
grid_35.txt,305436,422,106,9694,422,106
grid_36.txt,241609,388,100,8914,388,100
grid_37.txt,,,,,,
grid_38.txt,,,,,,
grid_39.txt,224578,386,106,8697,386,106
grid_40.txt,272612,414,121,10837,414,121
grid_41.txt,,,,,,
grid_42.txt,275636,376,102,9944,376,102
grid_43.txt,281483,440,111,10988,440,111
grid_44.txt,,,,,,
grid_45.txt,,,,,,
grid_46.txt,,,,,,
grid_47.txt,,,,,,
grid_48.txt,366311,482,116,11703,482,116
grid_49.txt,176099,264,67,6201,264,67
