map,forward_expanded,forward_moves,forward_replans,backward_expanded,backward_moves,backward_replans
grid_00.txt,,,,,,
grid_01.txt,,,,,,
grid_02.txt,10251,402,108,131156,420,110
grid_03.txt,8249,342,91,131495,404,101
grid_04.txt,8725,376,94,115403,386,101
grid_05.txt,,,,,,
grid_06.txt,,,,,,
grid_07.txt,,,,,,
grid_08.txt,7837,362,90,91255,314,77
grid_09.txt,,,,,,
grid_10.txt,,,,,,
grid_11.txt,,,,,,
grid_12.txt,8631,384,100,122228,428,106
grid_13.txt,10170,350,100,53741,302,83
grid_14.txt,,,,,,
grid_15.txt,9644,380,100,228542,430,117
grid_16.txt,7293,370,98,76769,374,96
grid_17.txt,,,,,,
grid_18.txt,8403,318,90,70530,366,99
grid_19.txt,,,,,,
grid_20.txt,,,,,,
grid_21.txt,,,,,,
grid_22.txt,,,,,,
grid_23.txt,,,,,,
grid_24.txt,,,,,,
grid_25.txt,,,,,,
grid_26.txt,7125,330,77,152189,484,131
grid_27.txt,11085,336,85,49080,290,79
grid_28.txt,8939,408,96,186279,344,82
grid_29.txt,9051,414,98,104148,304,89
grid_30.txt,11657,398,112,89712,380,95
grid_31.txt,10559,400,88,66952,390,84
grid_32.txt,6944,332,80,122809,366,92
grid_33.txt,10740,406,116,95298,432,109
grid_34.txt,8507,302,85,88316,410,120
grid_35.txt,9694,422,106,225099,406,111
grid_36.txt,8914,388,100,292869,458,120
grid_37.txt,,,,,,
grid_38.txt,,,,,,
grid_39.txt,8697,386,106,83392,458,119
grid_40.txt,10837,414,121,92701,380,109
grid_41.txt,,,,,,
grid_42.txt,9944,376,102,198609,496,124
grid_43.txt,10988,440,111,163909,490,133
grid_44.txt,,,,,,
grid_45.txt,,,,,,
grid_46.txt,,,,,,
grid_47.txt,,,,,,
grid_48.txt,11703,482,116,146705,434,108
grid_49.txt,6201,264,67,199001,436,118
