map,tie_breaker,forward_expanded,forward_moves,forward_replans,adaptive_expanded,adaptive_moves,adaptive_replans
grid_00.txt,large_g,,,,,,
grid_01.txt,large_g,,,,,,
grid_02.txt,large_g,10251,402,108,10031,402,107
grid_03.txt,large_g,8249,342,91,8891,364,96
grid_04.txt,large_g,8725,376,94,8475,376,94
grid_05.txt,large_g,,,,,,
grid_06.txt,large_g,,,,,,
grid_07.txt,large_g,,,,,,
grid_08.txt,large_g,7837,362,90,7792,362,90
grid_09.txt,large_g,,,,,,
grid_10.txt,large_g,,,,,,
grid_11.txt,large_g,,,,,,
grid_12.txt,large_g,8631,384,100,8429,384,100
grid_13.txt,large_g,10170,350,100,10122,350,100
grid_14.txt,large_g,,,,,,
grid_15.txt,large_g,9644,380,100,9554,378,100
grid_16.txt,large_g,7293,370,98,7160,370,98
grid_17.txt,large_g,,,,,,
grid_18.txt,large_g,8403,318,90,8363,318,89
grid_19.txt,large_g,,,,,,
grid_20.txt,large_g,,,,,,
grid_21.txt,large_g,,,,,,
grid_22.txt,large_g,,,,,,
grid_23.txt,large_g,,,,,,
grid_24.txt,large_g,,,,,,
grid_25.txt,large_g,,,,,,
grid_26.txt,large_g,7125,330,77,7116,330,77
grid_27.txt,large_g,11085,336,85,11035,336,85
grid_28.txt,large_g,8939,408,96,8484,406,95
grid_29.txt,large_g,9051,414,98,8963,414,98
grid_30.txt,large_g,11657,398,112,11618,398,112
grid_31.txt,large_g,10559,400,88,10305,398,87
grid_32.txt,large_g,6944,332,80,6899,332,80
grid_33.txt,large_g,10740,406,116,10698,406,116
grid_34.txt,large_g,8507,302,85,8505,302,85
grid_35.txt,large_g,9694,422,106,9458,416,105
grid_36.txt,large_g,8914,388,100,8855,388,100
grid_37.txt,large_g,,,,,,
grid_38.txt,large_g,,,,,,
grid_39.txt,large_g,8697,386,106,8560,384,105
grid_40.txt,large_g,10837,414,121,10618,410,121
grid_41.txt,large_g,,,,,,
grid_42.txt,large_g,9944,376,102,9648,376,102
grid_43.txt,large_g,10988,440,111,10642,440,110
grid_44.txt,large_g,,,,,,
grid_45.txt,large_g,,,,,,
grid_46.txt,large_g,,,,,,
grid_47.txt,large_g,,,,,,
grid_48.txt,large_g,11703,482,116,11627,482,116
grid_49.txt,large_g,6201,264,67,6198,264,67
